  BEN HERMANS  ,173,ISRAEL START-UP NATION  ,'27h 30'' 27'''''
  NICOLAS EDET  ,123,COFIDIS  ,'27h 31'' 5'''''
  VALENTIN MADOUAS  ,56,GROUPAMA - FDJ  ,'27h 31'' 28'''''
  MARC HIRSCHI  ,204,TEAM SUNWEB  ,'27h 32'' 9'''''
  GREGOR MÜHLBERGER  ,25,BORA - HANSGROHE  ,'27h 33'' 49'''''
  NIKLAS EG  ,102,TREK - SEGAFREDO  ,'27h 34'' 42'''''
  CYRIL GAUTIER  ,215,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'27h 37'' 4'''''
  SIMON GESCHKE  ,113,CCC TEAM  ,'27h 37'' 12'''''
  DAVID GAUDU  ,53,GROUPAMA - FDJ  ,'27h 37'' 28'''''
  DIEGO ROSA  ,86,TEAM ARKEA - SAMSIC  ,'27h 38'' 48'''''
  LENNARD KÄMNA  ,24,BORA - HANSGROHE  ,'27h 39'' 8'''''
  FELIX GROSSSCHARTNER  ,23,BORA - HANSGROHE  ,'27h 39'' 18'''''
  DARIO CATALDO  ,92,MOVISTAR TEAM  ,'27h 40'' 41'''''
  HUGO HOULE  ,143,ASTANA PRO TEAM  ,'27h 41'' 15'''''
  ALBERTO BETTIOL  ,72,EF PRO CYCLING  ,'27h 42'' 23'''''
  DANIEL MARTIN  ,171,ISRAEL START-UP NATION  ,'27h 43'' 46'''''
  STEFAN KÜNG  ,54,GROUPAMA - FDJ  ,'27h 43'' 51'''''
  TOMS SKUJINS  ,106,TREK - SEGAFREDO  ,'27h 44'' 43'''''
  DYLAN VAN BAARLE  ,8,INEOS GRENADIERS  ,'27h 45'' 28'''''
  DRIES DEVENYNS  ,46,DECEUNINCK - QUICK - STEP  ,'27h 45'' 47'''''
  SØREN KRAGH ANDERSEN  ,205,TEAM SUNWEB  ,'27h 46'' 53'''''
  JASPER STUYVEN  ,107,TREK - SEGAFREDO  ,'27h 48'' 0'''''
  MICHAEL SCHÄR  ,116,CCC TEAM  ,'27h 49'' 17'''''
  JOSÉ ROJAS  ,96,MOVISTAR TEAM  ,'27h 50'' 33'''''
  KRISTS NEILANDS  ,175,ISRAEL START-UP NATION  ,'27h 51'' 33'''''
  ALESSANDRO DE MARCHI  ,112,CCC TEAM  ,'27h 51'' 49'''''
  CARLOS VERONA  ,98,MOVISTAR TEAM  ,'27h 52'' 46'''''
  JENS KEUKELEIRE  ,75,EF PRO CYCLING  ,'27h 53'' 7'''''
  JAN HIRT  ,114,CCC TEAM  ,'27h 53'' 43'''''
  TEJAY VAN GARDEREN  ,78,EF PRO CYCLING  ,'27h 53'' 54'''''
  EDVALD BOASSON HAGEN  ,192,NTT PRO CYCLING TEAM  ,'27h 54'' 0'''''
  QUENTIN PACHER  ,216,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'27h 55'' 2'''''
  TOM VAN ASBROECK  ,178,ISRAEL START-UP NATION  ,'27h 55'' 26'''''
  MICHAEL HUNDAHL VALGREN  ,195,NTT PRO CYCLING TEAM  ,'27h 55'' 33'''''
  DANIEL OSS  ,26,BORA - HANSGROHE  ,'27h 56'' 36'''''
  OMAR FRAILE  ,142,ASTANA PRO TEAM  ,'27h 56'' 40'''''
  THOMAS DE GENDT  ,154,LOTTO SOUDAL  ,'27h 57'' 6'''''
  CLÉMENT VENTURINI  ,37,AG2R LA MONDIALE  ,'27h 57'' 35'''''
  MATEJ MOHORIC  ,66,BAHRAIN - MCLAREN  ,'27h 59'' 29'''''
  NANS PETERS  ,36,AG2R LA MONDIALE  ,'28h 0'' 54'''''
  OLIVER NAESEN  ,35,AG2R LA MONDIALE  ,'28h 1'' 30'''''
  MATTHIEU LADAGNOUS  ,55,GROUPAMA - FDJ  ,'28h 1'' 30'''''
  PETER SAGAN  ,21,BORA - HANSGROHE  ,'28h 1'' 56'''''
  KASPER ASGREEN  ,42,DECEUNINCK - QUICK - STEP  ,'28h 2'' 49'''''
  IMANOL ERVITI  ,93,MOVISTAR TEAM  ,'28h 3'' 3'''''
  CYRIL BARTHE  ,212,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'28h 3'' 49'''''
  MICHAEL GOGL  ,194,NTT PRO CYCLING TEAM  ,'28h 3'' 53'''''
  TIESJ BENOOT  ,201,TEAM SUNWEB  ,'28h 5'' 2'''''
  ANDREY AMADOR  ,2,INEOS GRENADIERS  ,'28h 5'' 16'''''
  SONNY COLBRELLI  ,64,BAHRAIN - MCLAREN  ,'28h 6'' 3'''''
  JACK BAUER  ,162,MITCHELTON - SCOTT  ,'28h 6'' 12'''''
  JONAS KOCH  ,115,CCC TEAM  ,'28h 6'' 18'''''
  RÉMI CAVAGNA  ,44,DECEUNINCK - QUICK - STEP  ,'28h 7'' 36'''''
  TIM DECLERCQ  ,45,DECEUNINCK - QUICK - STEP  ,'28h 7'' 50'''''
  AMUND GRØNDAHL JANSEN  ,13,TEAM JUMBO - VISMA  ,'28h 8'' 7'''''
  VEGARD STAKE LAENGEN  ,136,UAE TEAM EMIRATES  ,'28h 8'' 32'''''
  EDWARD THEUNS  ,108,TREK - SEGAFREDO  ,'28h 8'' 52'''''
  DAYER QUINTANA  ,85,TEAM ARKEA - SAMSIC  ,'28h 8'' 58'''''
  DARYL IMPEY  ,165,MITCHELTON - SCOTT  ,'28h 9'' 15'''''
  CASPER PHILLIP PEDERSEN  ,207,TEAM SUNWEB  ,'28h 9'' 25'''''
  JORIS NIEUWENHUIS  ,206,TEAM SUNWEB  ,'28h 10'' 11'''''
  MARCO MARCATO  ,137,UAE TEAM EMIRATES  ,'28h 10'' 54'''''
  TONY MARTIN  ,17,TEAM JUMBO - VISMA  ,'28h 11'' 49'''''
  CHRISTOPHER JUUL JENSEN  ,166,MITCHELTON - SCOTT  ,'28h 11'' 50'''''
  ROMAN KREUZIGER  ,196,NTT PRO CYCLING TEAM  ,'28h 12'' 18'''''
  PIERRE LUC PERICHON  ,127,COFIDIS  ,'28h 12'' 22'''''
  MATTEO TRENTIN  ,117,CCC TEAM  ,'28h 13'' 19'''''
  NILS POLITT  ,177,ISRAEL START-UP NATION  ,'28h 13'' 42'''''
  LUKAS PÖSTLBERGER  ,27,BORA - HANSGROHE  ,'28h 14'' 8'''''
  CONNOR SWIFT  ,88,TEAM ARKEA - SAMSIC  ,'28h 15'' 12'''''
  HUGO HOFSTETTER  ,174,ISRAEL START-UP NATION  ,'28h 16'' 30'''''
  ANTHONY TURGIS  ,188,TOTAL DIRECT ENERGIE  ,'28h 16'' 48'''''
  MATHIEU BURGAUDEAU  ,182,TOTAL DIRECT ENERGIE  ,'28h 17'' 31'''''
  ELIA VIVIANI  ,128,COFIDIS  ,'28h 18'' 48'''''
  GUY NIV  ,176,ISRAEL START-UP NATION  ,'28h 19'' 19'''''
  LUKA MEZGEC  ,167,MITCHELTON - SCOTT  ,'28h 19'' 27'''''
  MAXIME CHEVALIER  ,213,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'28h 20'' 17'''''
  BENOIT COSNEFROY  ,33,AG2R LA MONDIALE  ,'28h 20'' 23'''''
  ALEXANDER KRISTOFF  ,135,UAE TEAM EMIRATES  ,'28h 20'' 52'''''
  RYAN GIBBONS  ,193,NTT PRO CYCLING TEAM  ,'28h 20'' 57'''''
  BRYAN COQUARD  ,211,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'28h 21'' 32'''''
  GIACOMO NIZZOLO  ,191,NTT PRO CYCLING TEAM  ,'28h 21'' 49'''''
  CLÉMENT RUSSO  ,87,TEAM ARKEA - SAMSIC  ,'28h 22'' 0'''''
  CEES BOL  ,203,TEAM SUNWEB  ,'28h 22'' 0'''''
